Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Entry size;Wins;Losses;Total Markets
0,42;0,11;0,05;0,2;105;-0,3;-0,08;6,4;17168,91;10;388;32;420
0,42;0,11;0,05;0,2;105;-0,5;-0,08;6,33;17168,98;10;388;32;420
0,42;0,16;0,05;0,25;60;-0,3;-0,08;6,14;13768,08;10;365;55;420
0,42;0,01;0,1;0,25;60;-0,3;-0,01;5,88;14058,27;10;353;67;420
0,42;0,11;0,05;0,35;60;-0,3;-0,08;5,19;17471,53;15;347;73;420
0,42;0,16;0,05;0,3;80;-0,3;-0,08;5,01;20486,02;15;357;63;420
0,42;0,16;0,1;0,3;80;-0,3;0,05;4,69;22871,03;15;332;88;420
0,42;0,11;0,1;0,35;105;-0,3;0,05;4,59;29741;15;334;86;420
0,42;0,21;0,05;0,2;105;-0,5;0,05;4,54;18146,68;10;382;38;420
0,42;0,16;0,05;0,25;60;-0,3;-0,01;4,43;13774,45;10;365;55;420
0,42;0,21;0,05;0,2;105;-0,5;-0,01;4,27;18139,98;10;381;39;420
0,42;0,05;0,1;0,25;60;-0,3;-0,08;4,04;17456,92;15;324;96;420
0,42;0,16;0,15;0,2;60;-0,3;-0,08;3,93;17380,81;15;320;100;420
0,42;0,16;0,05;0,2;80;-0,3;-0,08;3,86;18424,03;15;370;50;420
0,42;0,16;0,05;0,2;80;-0,5;0,05;3,84;18424,05;15;370;50;420
0,42;0,16;0,05;0,25;60;-0,3;0,05;3,68;13779,23;10;366;54;420
0,42;0,21;0,15;0,2;60;-0,3;-0,01;2,41;17987,35;15;314;106;420
0,42;0,16;0,05;0,3;80;-0,5;0,05;1,73;20489,3;15;357;63;420
0,42;0,05;0,1;0,3;105;-0,5;-0,08;1,69;26829,59;15;341;79;420
0,42;0,21;0,05;0,35;105;-0,3;-0,01;1,65;25907,84;15;361;59;420
0,42;0,16;0,05;0,3;80;-0,3;-0,01;1,57;20489,46;15;357;63;420
